user_id,age,occupations,location,risk_profile,marital,consumption_record,income_pattern,transaction_frequency,holding_pattern,Account Balance,drift years,investment_horizon,goal_type
U012,63,无业或其他（含退休）,五线,保守型,widowed,"[{""category"":""medical"",""amount"":7910},{""category"":""utility"",""amount"":1953}]","[7350,7875,7560]",0.42,"[""cash_equivalents""]",50490,3,-1,退休
U013,40,金融业,一线,进取型,married,"[{""category"":""investment"",""amount"":22800},{""category"":""housing"",""amount"":9810}]","[46000,48300,47150]",0.93,"[""equities"",""alternative_assets""]",99360,2,-1,财富增长
U014,28,生产工作运输工作和部分体力劳动者,三线,稳健型,single,"[{""category"":""food"",""amount"":2160},{""category"":""entertainment"",""amount"":1296}]","[8960,9520,9184]",0.6,"[""fixed_income"",""cash_equivalents""]",17010,1,9,房产购置
U015,44,医疗教育非营利事业,二线,稳健型,married,"[{""category"":""education"",""amount"":5600},{""category"":""medical"",""amount"":3390}]","[25990,27120,26555]",0.76,"[""fixed_income"",""equities""]",136620,2,6,子女教育
U016,25,办事人员和有关人员,三线,稳健型,single,"[{""category"":""food"",""amount"":1469},{""category"":""shopping"",""amount"":1017}]","[9200,9800,9500]",0.55,"[""cash_equivalents"",""fixed_income""]",9633,2,0,旅行
U017,56,无业或其他（含退休）,一线,保守型,married,"[{""category"":""medical"",""amount"":5850},{""category"":""insurance"",""amount"":2700}]","[19950,20475,20160]",0.57,"[""cash_equivalents"",""fixed_income""]",100800,3,12,退休
U018,32,贸易公司离岸公司,二线,进取型,single,"[{""category"":""investment"",""amount"":13560},{""category"":""transportation"",""amount"":2220}]","[31360,32480,31920]",0.88,"[""equities"",""alternative_assets""]",47520,1,4,财富增长
U019,32,各类专业技术人员,二线,进取型,married,"[{""category"":""housing"",""amount"":5550},{""category"":""food"",""amount"":2494}]","[19550,21060,20125]",0.75,"[""equities"",""fixed_income""]",34020,3,4,房产购置
U020,50,农林牧渔,乡村,保守型,married,"[{""category"":""utility"",""amount"":1417},{""category"":""food"",""amount"":2725}]","[13440,14560,14000]",0.53,"[""cash_equivalents"",""fixed_income""]",68040,2,18,退休
U021,27,自由业主,四线,进取型,single,"[{""category"":""shopping"",""amount"":4320},{""category"":""investment"",""amount"":6480}]","[16800,17920,17360]",0.82,"[""equities"",""fixed_income""]",19440,1,-1,财富增长
U022,39,彩票娱乐服务,二线,稳健型,married,"[{""category"":""entertainment"",""amount"":3450},{""category"":""housing"",""amount"":7770}]","[23940,25080,24725]",0.74,"[""fixed_income"",""equities""]",45360,3,3,房产购置
U023,22,学生,五线,保守型,single,"[{""category"":""food"",""amount"":1166},{""category"":""entertainment"",""amount"":742}]","[1908,2100,1995]",0.46,"[""cash_equivalents""]",2970,1,0,旅行
U024,60,无业或其他（含退休）,一线,保守型,widowed,"[{""category"":""medical"",""amount"":8960},{""category"":""utility"",""amount"":2160}]","[9450,9975,9660]",0.38,"[""cash_equivalents""]",33120,2,-1,退休
U025,37,金融业,二线,进取型,married,"[{""category"":""investment"",""amount"":20520},{""category"":""insurance"",""amount"":3360}]","[36800,37950,37375]",0.87,"[""equities"",""alternative_assets""]",93150,3,7,财富增长
U026,26,办事人员和有关人员,三线,稳健型,married,"[{""category"":""transportation"",""amount"":1554},{""category"":""food"",""amount"":2052}]","[10170,10735,10396]",0.66,"[""fixed_income"",""cash_equivalents""]",17496,2,2,房产购置
U027,45,医疗教育非营利事业,四线,稳健型,married,"[{""category"":""education"",""amount"":4860},{""category"":""medical"",""amount"":3780}]","[22200,23310,22755]",0.7,"[""fixed_income"",""equities""]",106920,1,11,子女教育
U028,35,工商服务业,一线,进取型,married,"[{""category"":""shopping"",""amount"":6160},{""category"":""investment"",""amount"":10080}]","[29380,30540,30045]",0.84,"[""equities"",""alternative_assets""]",43740,3,-1,财富增长
U029,29,生产工作运输工作和部分体力劳动者,二线,稳健型,married,"[{""category"":""food"",""amount"":2481},{""category"":""utility"",""amount"":1712}]","[12210,13320,12865]",0.61,"[""cash_equivalents"",""fixed_income""]",22500,1,7,房产购置
U030,53,国家企事业单位,三线,保守型,married,"[{""category"":""medical"",""amount"":6160},{""category"":""insurance"",""amount"":2376}]","[18090,18525,18284]",0.53,"[""cash_equivalents""]",75330,2,16,退休
U031,38,贸易公司离岸公司,四线,进取型,single,"[{""category"":""investment"",""amount"":14140},{""category"":""transportation"",""amount"":1944}]","[26160,27250,26460]",0.86,"[""equities"",""fixed_income""]",46575,1,5,财富增长
U032,24,学生,乡村,保守型,single,"[{""category"":""food"",""amount"":1512},{""category"":""entertainment"",""amount"":972}]","[2376,2568,2484]",0.51,"[""cash_equivalents""]",5049,2,1,旅行
U033,50,自由业主,一线,稳健型,married,"[{""category"":""housing"",""amount"":9520},{""category"":""shopping"",""amount"":4480}]","[32780,33900,33345]",0.73,"[""fixed_income"",""equities""]",155250,3,2,房产购置
U034,31,各类专业技术人员,二线,进取型,single,"[{""category"":""investment"",""amount"":10900},{""category"":""entertainment"",""amount"":2180}]","[24420,25530,24975]",0.81,"[""equities"",""alternative_assets""]",34020,1,-1,财富增长
U035,58,无业或其他（含退休）,三线,保守型,divorced,"[{""category"":""medical"",""amount"":7340},{""category"":""utility"",""amount"":1836}]","[8480,8980,8652]",0.42,"[""cash_equivalents"",""fixed_income""]",43740,2,-1,退休
U036,36,金融业,三线,稳健型,married,"[{""category"":""education"",""amount"":5600},{""category"":""housing"",""amount"":6660}]","[29970,31080,30525]",0.71,"[""fixed_income"",""cash_equivalents""]",89100,3,6,子女教育
U037,26,办事人员和有关人员,五线,保守型,single,"[{""category"":""food"",""amount"":1819},{""category"":""transportation"",""amount"":1177}]","[9350,9900,9570]",0.56,"[""cash_equivalents""]",12150,1,1,旅行
U038,43,农林牧渔,乡村,稳健型,married,"[{""category"":""food"",""amount"":2640},{""category"":""utility"",""amount"":1296}]","[14560,15680,15120]",0.59,"[""fixed_income"",""cash_equivalents""]",62370,2,13,退休
U039,32,彩票娱乐服务,一线,进取型,married,"[{""category"":""investment"",""amount"":15960},{""category"":""entertainment"",""amount"":3390}]","[20340,21650,20905]",0.88,"[""equities"",""alternative_assets""]",21870,3,2,财富增长
U040,36,采掘业制造业科技产业,二线,稳健型,married,"[{""category"":""housing"",""amount"":8025},{""category"":""medical"",""amount"":2675}]","[25070,26160,25585]",0.7,"[""fixed_income"",""equities""]",71280,1,6,房产购置
U041,25,生产工作运输工作和部分体力劳动者,三线,稳健型,single,"[{""category"":""food"",""amount"":1368},{""category"":""shopping"",""amount"":896}]","[8820,9660,9240]",0.5,"[""cash_equivalents"",""fixed_income""]",7281,2,-1,旅行
U042,51,医疗教育非营利事业,四线,稳健型,married,"[{""category"":""education"",""amount"":4440},{""category"":""insurance"",""amount"":2180}]","[20900,22200,21645]",0.64,"[""fixed_income"",""cash_equivalents""]",85050,2,8,子女教育
U043,34,工商服务业,四线,进取型,married,"[{""category"":""investment"",""amount"":12420},{""category"":""shopping"",""amount"":3955}]","[22600,23730,23175]",0.83,"[""equities"",""fixed_income""]",38610,3,-1,财富增长
U044,27,生产工作运输工作和部分体力劳动者,乡村,稳健型,single,"[{""category"":""food"",""amount"":2140},{""category"":""transportation"",""amount"":1391}]","[10640,11200,10864]",0.56,"[""cash_equivalents"",""fixed_income""]",15300,1,4,房产购置
U045,56,无业或其他（含退休）,一线,保守型,widowed,"[{""category"":""medical"",""amount"":8400},{""category"":""utility"",""amount"":2052}]","[15750,16275,15960]",0.38,"[""cash_equivalents""]",61200,2,18,退休
U046,41,贸易公司离岸公司,二线,进取型,married,"[{""category"":""investment"",""amount"":18080},{""category"":""housing"",""amount"":8880}]","[33900,35030,34465]",0.87,"[""equities"",""alternative_assets""]",83835,3,5,财富增长
U047,25,自由业主,三线,稳健型,single,"[{""category"":""shopping"",""amount"":4860},{""category"":""entertainment"",""amount"":1620}]","[15540,16650,16145]",0.61,"[""fixed_income"",""cash_equivalents""]",20412,1,3,房产购置
U048,45,各类专业技术人员,四线,稳健型,married,"[{""category"":""education"",""amount"":6160},{""category"":""medical"",""amount"":3330}]","[24420,25530,24975]",0.71,"[""fixed_income"",""equities""]",124200,2,11,子女教育
U049,33,金融业,四线,进取型,married,"[{""category"":""investment"",""amount"":13560},{""category"":""transportation"",""amount"":1776}]","[28250,29500,28825]",0.82,"[""equities"",""alternative_assets""]",32400,3,-1,财富增长
U050,28,学生,乡村,保守型,single,"[{""category"":""food"",""amount"":1605},{""category"":""entertainment"",""amount"":1070}]","[2568,2788,2675]",0.51,"[""cash_equivalents""]",5940,1,2,旅行
U051,31,金融业,一线,进取型,married,"[{""category"":""shopping"",""amount"":3420},{""category"":""entertainment"",""amount"":1130}]","[20340,22600,24860]",0.87,"[""equities"",""alternative_assets""]",36450,3,7,财富增长
U052,46,国家企事业单位,三线,稳健型,married,"[{""category"":""housing"",""amount"":5450},{""category"":""utility"",""amount"":864}]","[27250,28360,27795]",0.6,"[""fixed_income"",""equities""]",160380,1,14,子女教育
U053,62,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"":""medical"",""amount"":1680},{""category"":""food"",""amount"":1296}]","[6500,6800,6650]",0.28,"[""cash_equivalents""]",38880,2,-1,退休
U054,24,贸易公司离岸公司,三线,进取型,single,"[{""category"":""entertainment"",""amount"":920},{""category"":""shopping"",""amount"":1368}]","[12000,13200,12600]",0.92,"[""equities"",""alternative_assets""]",8797.5,2,1,旅行
U055,53,律师会计师顾问或中介,二线,稳健型,divorced,"[{""category"":""insurance"",""amount"":3390},{""category"":""investment"",""amount"":5650}]","[33600,35840,34720]",0.69,"[""fixed_income"",""equities"",""cash_equivalents""]",133650,3,7,财富增长
U056,35,医疗教育非营利事业,一线,保守型,married,"[{""category"":""medical"",""amount"":2260},{""category"":""housing"",""amount"":4360}]","[16650,17760,17205]",0.49,"[""cash_equivalents"",""fixed_income""]",65610,2,3,房产购置
U057,32,贸易公司离岸公司,四线,进取型,married,"[{""category"":""transportation"",""amount"":1710},{""category"":""entertainment"",""amount"":2260}]","[24840,27120,25790]",0.83,"[""equities"",""alternative_assets""]",53460,3,5,退休
U058,42,工商服务业,三线,稳健型,married,"[{""category"":""utility"",""amount"":1090},{""category"":""food"",""amount"":2725}]","[22200,23310,22755]",0.64,"[""fixed_income"",""cash_equivalents""]",109890,1,11,子女教育
U059,69,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"":""medical"",""amount"":3420},{""category"":""food"",""amount"":1080}]","[5800,6100,5950]",0.18,"[""cash_equivalents""]",32400,2,-1,退休
U060,28,各类专业技术人员,二线,进取型,married,"[{""category"":""shopping"",""amount"":1725},{""category"":""entertainment"",""amount"":1130}]","[16800,18360,17820]",0.96,"[""equities"",""alternative_assets""]",13770,3,2,财富增长
U061,40,金融业,一线,进取型,married,"[{""category"":""investment"",""amount"":6780},{""category"":""housing"",""amount"":4995}]","[31360,33600,32480]",0.89,"[""equities"",""alternative_assets""]",73770,2,4,旅行
U062,54,国家企事业单位,四线,稳健型,married,"[{""category"":""insurance"",""amount"":2775},{""category"":""utility"",""amount"":972}]","[28340,29430,28820]",0.53,"[""fixed_income"",""equities""]",102060,2,18,退休
U063,34,医疗教育非营利事业,二线,保守型,married,"[{""category"":""medical"",""amount"":1356},{""category"":""food"",""amount"":1962}]","[15750,16950,16325]",0.46,"[""cash_equivalents"",""fixed_income""]",44550,3,0,房产购置
U064,45,律师会计师顾问或中介,三线,稳健型,divorced,"[{""category"":""investment"",""amount"":4440},{""category"":""transportation"",""amount"":1308}]","[35520,36630,36000]",0.74,"[""fixed_income"",""cash_equivalents""]",163350,1,9,子女教育
U065,29,贸易公司离岸公司,四线,进取型,married,"[{""category"":""entertainment"",""amount"":1710},{""category"":""shopping"",""amount"":2260}]","[22600,23730,23175]",0.84,"[""equities"",""alternative_assets""]",34020,3,4,财富增长
U066,59,无业或其他（含退休）,乡村,保守型,married,"[{""category"":""medical"",""amount"":2180},{""category"":""utility"",""amount"":756}]","[6200,6500,6350]",0.24,"[""cash_equivalents"",""fixed_income""]",39600,1,-1,财富增长
U067,39,工商服务业,一线,稳健型,married,"[{""category"":""housing"",""amount"":3955},{""category"":""food"",""amount"":2402}]","[20160,21280,20720]",0.67,"[""fixed_income"",""equities""]",75240,3,5,房产购置
U068,50,金融业,二线,进取型,married,"[{""category"":""investment"",""amount"":7910},{""category"":""entertainment"",""amount"":1356}]","[39200,40320,39760]",0.91,"[""equities"",""alternative_assets""]",135675,2,13,退休
U069,31,办事人员和有关人员,三线,进取型,single,"[{""category"":""shopping"",""amount"":1150},{""category"":""transportation"",""amount"":896}]","[13200,14700,14020]",0.93,"[""equities"",""fixed_income""]",9315,2,0,旅行
U070,45,国家企事业单位,三线,稳健型,married,"[{""category"":""insurance"",""amount"":3168},{""category"":""medical"",""amount"":1680}]","[26880,28000,27440]",0.56,"[""fixed_income"",""cash_equivalents""]",106920,3,15,子女教育
U071,57,无业或其他（含退休）,乡村,保守型,divorced,"[{""category"":""food"",""amount"":1456},{""category"":""utility"",""amount"":648}]","[5500,5800,5650]",0.21,"[""cash_equivalents""]",29160,2,-1,退休
U072,35,医疗教育非营利事业,一线,保守型,married,"[{""category"":""housing"",""amount"":3390},{""category"":""food"",""amount"":1744}]","[17920,19040,18480]",0.47,"[""cash_equivalents"",""fixed_income""]",62370,3,2,房产购置
U073,48,律师会计师顾问或中介,二线,稳健型,married,"[{""category"":""investment"",""amount"":5550},{""category"":""insurance"",""amount"":2398}]","[33300,34410,33855]",0.71,"[""fixed_income"",""equities""]",148500,1,11,财富增长
U074,30,贸易公司离岸公司,四线,进取型,married,"[{""category"":""entertainment"",""amount"":2052},{""category"":""shopping"",""amount"":2484}]","[23940,26190,24840]",0.89,"[""equities"",""alternative_assets""]",31590,3,1,旅行
U075,41,工商服务业,三线,稳健型,married,"[{""category"":""utility"",""amount"":1221},{""category"":""housing"",""amount"":4218}]","[21090,22400,21740]",0.61,"[""fixed_income"",""cash_equivalents""]",103950,2,12,子女教育
U076,63,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"":""medical"",""amount"":2825},{""category"":""food"",""amount"":1199}]","[5200,5500,5350]",0.17,"[""cash_equivalents""]",27540,2,-1,财富增长
U077,37,金融业,一线,进取型,married,"[{""category"":""investment"",""amount"":7345},{""category"":""transportation"",""amount"":1456}]","[30240,32480,31360]",0.85,"[""equities"",""alternative_assets""]",96255,3,7,财富增长
U078,53,国家企事业单位,四线,稳健型,married,"[{""category"":""insurance"",""amount"":3390},{""category"":""utility"",""amount"":1064}]","[30800,31900,31350]",0.55,"[""fixed_income"",""equities""]",123930,2,23,退休
U079,33,贸易公司离岸公司,二线,进取型,married,"[{""category"":""shopping"",""amount"":1380},{""category"":""entertainment"",""amount"":1017}]","[16100,17600,16950]",0.91,"[""equities"",""alternative_assets""]",16155,3,3,房产购置
U080,44,医疗教育非营利事业,三线,保守型,married,"[{""category"":""medical"",""amount"":1962},{""category"":""housing"",""amount"":3488}]","[18530,19620,19025]",0.51,"[""cash_equivalents"",""fixed_income""]",106920,1,15,子女教育
U081,58,无业或其他（含退休）,乡村,保守型,divorced,"[{""category"":""food"",""amount"":1568},{""category"":""utility"",""amount"":550}]","[5600,5900,5750]",0.14,"[""cash_equivalents"",""fixed_income""]",25920,2,-1,退休
U082,40,律师会计师顾问或中介,一线,稳健型,married,"[{""category"":""investment"",""amount"":5130},{""category"":""insurance"",""amount"":2938}]","[34720,35840,35130]",0.72,"[""fixed_income"",""cash_equivalents""]",124740,3,5,财富增长
U083,29,贸易公司离岸公司,四线,进取型,single,"[{""category"":""entertainment"",""amount"":1744},{""category"":""shopping"",""amount"":2071}]","[20710,21800,21255]",0.87,"[""equities"",""alternative_assets""]",11880,1,0,旅行
U084,48,工商服务业,二线,稳健型,married,"[{""category"":""housing"",""amount"":4704},{""category"":""food"",""amount"":2504}]","[24420,25530,24975]",0.64,"[""fixed_income"",""equities""]",71280,2,5,房产购置
U085,61,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"":""medical"",""amount"":2484},{""category"":""utility"",""amount"":715}]","[5900,6200,6050]",0.26,"[""cash_equivalents""]",34020,2,-1,退休
U086,36,金融业,一线,进取型,married,"[{""category"":""investment"",""amount"":6610},{""category"":""transportation"",""amount"":1568}]","[29120,30240,29680]",0.83,"[""equities"",""alternative_assets""]",109890,3,15,退休
U087,41,国家企事业单位,三线,稳健型,married,"[{""category"":""insurance"",""amount"":2943},{""category"":""medical"",""amount"":1744}]","[27250,28360,27795]",0.57,"[""fixed_income"",""cash_equivalents""]",99630,1,12,子女教育
U088,29,各类专业技术人员,三线,进取型,single,"[{""category"":""shopping"",""amount"":1495},{""category"":""entertainment"",""amount"":1242}]","[13200,14400,13800]",0.95,"[""equities"",""fixed_income""]",9405,3,1,财富增长
U089,51,医疗教育非营利事业,二线,保守型,married,"[{""category"":""housing"",""amount"":3996},{""category"":""food"",""amount"":2180}]","[25070,26160,25585]",0.52,"[""cash_equivalents"",""fixed_income""]",115830,2,7,房产购置
U090,56,无业或其他（含退休）,乡村,保守型,divorced,"[{""category"":""medical"",""amount"":3024},{""category"":""utility"",""amount"":605}]","[5300,5600,5450]",0.22,"[""cash_equivalents""]",27540,2,-1,财富增长
U091,38,律师会计师顾问或中介,一线,稳健型,married,"[{""category"":""investment"",""amount"":5928},{""category"":""insurance"",""amount"":2664}]","[32190,33300,32645]",0.73,"[""fixed_income"",""equities""]",136620,3,8,子女教育
U092,32,贸易公司离岸公司,四线,进取型,single,"[{""category"":""entertainment"",""amount"":1853},{""category"":""shopping"",""amount"":2289}]","[22200,23310,22755]",0.88,"[""equities"",""alternative_assets""]",36630,1,2,旅行
U093,46,工商服务业,三线,稳健型,married,"[{""category"":""utility"",""amount"":1166},{""category"":""housing"",""amount"":4251}]","[23310,24420,23865]",0.62,"[""fixed_income"",""cash_equivalents""]",76950,2,7,财富增长
U094,59,无业或其他（含退休）,乡村,保守型,widowed,"[{""category"":""food"",""amount"":1680},{""category"":""medical"",""amount"":2576}]","[5700,6000,5850]",0.18,"[""cash_equivalents""]",26730,2,-1,退休
U095,35,金融业,一线,进取型,married,"[{""category"":""investment"",""amount"":7006},{""category"":""transportation"",""amount"":1503}]","[26880,28000,27440]",0.86,"[""equities"",""alternative_assets""]",93150,3,9,退休
U096,42,国家企事业单位,四线,稳健型,married,"[{""category"":""insurance"",""amount"":3161},{""category"":""utility"",""amount"":960}]","[29430,30540,29975]",0.54,"[""fixed_income"",""equities""]",97200,1,9,房产购置
U097,30,贸易公司离岸公司,二线,进取型,married,"[{""category"":""shopping"",""amount"":1610},{""category"":""entertainment"",""amount"":1073}]","[15600,17250,16450]",0.93,"[""equities"",""alternative_assets""]",11340,3,3,财富增长
U098,52,医疗教育非营利事业,三线,保守型,married,"[{""category"":""medical"",""amount"":2128},{""category"":""housing"",""amount"":3706}]","[28340,29430,28820]",0.51,"[""cash_equivalents"",""fixed_income""]",145530,2,15,子女教育
U099,40,律师会计师顾问或中介,一线,稳健型,divorced,"[{""category"":""investment"",""amount"":5424},{""category"":""insurance"",""amount"":2553}]","[31360,32510,31725]",0.71,"[""fixed_income"",""cash_equivalents""]",75330,2,3,旅行
U100,58,无业或其他（含退休）,五线,保守型,married,"[{""category"":""food"",""amount"":1568},{""category"":""entertainment"",""amount"":339}]","[8400,8400,8400]",0.28,"[""cash_equivalents"",""fixed_income""]",48600,3,-1,退休
